IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
162.159.44.92,4,4,0.00,39.83,0.00,NRT,443
162.159.39.63,4,4,0.00,40.35,0.00,NRT,443
162.159.45.69,4,4,0.00,45.54,0.00,NRT,443
172.64.229.190,4,4,0.00,50.06,0.00,NRT,443
162.159.38.246,4,4,0.00,61.02,0.00,NRT,443
172.64.53.165,4,4,0.00,66.65,0.00,SIN,443
104.18.34.105,4,4,0.00,67.37,0.00,SIN,443
172.64.40.15,4,4,0.00,68.08,0.00,SIN,443
162.159.3.132,4,4,0.00,68.54,0.00,SIN,443
198.41.223.41,4,4,0.00,68.80,0.00,SIN,443
162.159.2.91,4,4,0.00,68.98,0.00,SIN,443
172.64.48.148,4,4,0.00,69.29,0.00,SIN,443
162.159.5.146,4,4,0.00,69.57,0.00,SIN,443
104.18.39.58,4,4,0.00,69.65,0.00,SIN,443
162.159.26.23,4,4,0.00,69.72,0.00,SIN,443
172.64.149.55,4,4,0.00,69.96,0.00,SIN,443
162.159.62.159,4,4,0.00,70.06,0.00,SIN,443
162.159.4.102,4,4,0.00,70.12,0.00,SIN,443
162.159.15.105,4,4,0.00,70.36,0.00,SIN,443
104.18.32.142,4,4,0.00,70.97,0.00,SIN,443
172.64.144.136,4,4,0.00,70.99,0.00,SIN,443
162.159.20.53,4,4,0.00,71.09,0.00,SIN,443
162.159.8.117,4,4,0.00,71.46,0.00,SIN,443
172.64.146.67,4,4,0.00,71.48,0.00,SIN,443
162.159.9.18,4,4,0.00,72.37,0.00,SIN,443
162.159.27.251,4,4,0.00,72.46,0.00,SIN,443
162.159.0.228,4,4,0.00,72.83,0.00,SIN,443
172.64.158.4,4,4,0.00,72.84,0.00,SIN,443
108.162.196.113,4,4,0.00,73.09,0.00,SIN,443
162.159.18.239,4,4,0.00,74.06,0.00,SIN,443
172.64.33.123,4,4,0.00,74.18,0.00,SIN,443
162.159.49.125,4,4,0.00,74.31,0.00,SIN,443
162.159.33.192,4,4,0.00,74.48,0.00,SIN,443
162.159.48.104,4,4,0.00,74.57,0.00,SIN,443
198.41.222.46,4,4,0.00,74.57,0.00,SIN,443
104.18.38.21,4,4,0.00,74.58,0.00,SIN,443
162.159.42.213,4,4,0.00,74.60,0.00,SIN,443
162.159.14.36,4,4,0.00,74.62,0.00,SIN,443
162.159.41.122,4,4,0.00,74.63,0.00,SIN,443
162.159.61.31,4,4,0.00,74.79,0.00,SIN,443
162.159.34.178,4,4,0.00,74.89,0.00,SIN,443
162.159.43.141,4,4,0.00,74.96,0.00,SIN,443
162.159.22.91,4,4,0.00,75.01,0.00,SIN,443
162.159.40.138,4,4,0.00,75.30,0.00,SIN,443
108.162.192.133,4,4,0.00,75.31,0.00,SIN,443
162.159.17.174,4,4,0.00,75.46,0.00,SIN,443
172.64.52.252,4,4,0.00,75.49,0.00,SIN,443
162.159.46.146,4,4,0.00,75.58,0.00,SIN,443
162.159.60.235,4,4,0.00,75.84,0.00,SIN,443
162.159.1.239,4,4,0.00,76.02,0.00,SIN,443
162.159.7.209,4,4,0.00,76.20,0.00,SIN,443
172.64.38.97,4,4,0.00,76.20,0.00,SIN,443
172.64.145.77,4,4,0.00,76.23,0.00,SIN,443
